,BASIN,CYCLONE NO,DATE,TECHNUM,TECH,TAU,LAT,LON,VMAX,MSLP,TYPE,RAD,WINDCODE,RAD1,RAD2,RAD3,RAD4,P Outer,R Outer,RMW,GUSTS,EYE,SUBREGION,MAXSEAS,INITIALS,DIR,SPEED,NAME,DEPTH,SEAS,SEASCODE,SEAS1,SEAS2,SEAS3,SEAS4,TIME
0,EP,13,2020-08-25 06:00:00,,BEST,0,161N,1076W,25,1006,LO,0,,0,0,0,0,1009,120,50,35,0,E,0,,0,0,INVEST,M,0,,0,0,0,0,6
1,EP,13,2020-08-25 12:00:00,,BEST,0,163N,1075W,25,1006,LO,0,,0,0,0,0,1009,120,50,35,0,E,0,,0,0,INVEST,M,0,,0,0,0,0,12
2,EP,13,2020-08-25 18:00:00,,BEST,0,165N,1074W,30,1006,LO,0,,0,0,0,0,1009,120,50,40,0,E,0,,0,0,INVEST,M,0,,0,0,0,0,18
3,EP,13,2020-08-26 00:00:00,,BEST,0,168N,1072W,30,1006,LO,0,,0,0,0,0,1010,120,40,45,0,E,0,,0,0,INVEST,M,0,,0,0,0,0,0
4,EP,13,2020-08-26 06:00:00,,BEST,0,172N,1068W,35,1005,TS,34,NEQ,0,40,70,0,1010,120,40,40,0,E,0,,0,0,THIRTEEN,M,0,,0,0,0,0,6
5,EP,13,2020-08-26 12:00:00,,BEST,0,172N,1063W,35,1005,TS,34,NEQ,0,50,70,0,1010,120,50,40,0,E,0,,0,0,THIRTEEN,M,12,NEQ,0,150,120,0,12
6,EP,13,2020-08-26 18:00:00,,BEST,0,176N,1058W,35,1004,TS,34,NEQ,0,70,90,0,1010,120,60,0,0,E,0,,0,0,HERNAN,M,0,,0,0,0,0,18
7,EP,13,2020-08-27 00:00:00,,BEST,0,180N,1058W,35,1004,TS,34,NEQ,0,70,90,0,1010,120,60,45,0,E,0,,0,0,HERNAN,M,12,NEQ,0,120,120,0,0
8,EP,13,2020-08-27 06:00:00,,BEST,0,184N,1058W,40,1001,TS,34,NEQ,0,70,90,0,1010,120,60,50,0,E,0,,0,0,HERNAN,M,12,NEQ,0,120,120,0,6
9,EP,13,2020-08-27 12:00:00,,BEST,0,188N,1059W,40,1001,TS,34,NEQ,0,70,90,0,1010,120,60,50,0,E,0,,0,0,HERNAN,M,12,NEQ,0,150,120,0,12
